sid,"splunk_server","_time","is_realtime",provenance,search,"adhoc_search_level","event_count","exec_time","result_count","scan_count",status,"total_run_time","api_index_et","api_index_lt","savedsearch_name","__mv_sid","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_search","__mv_adhoc_search_level","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_index_et","__mv_api_index_lt","__mv_savedsearch_name"
"rt_md_1715914852.4601",server,"1715914852.997511",1,"UI:Search","| metadata type=sourcetypes | search totalCount > 0","",0,1715914853,0,0,failed,"71.065",,,,,,,,,,,,,,,,,,,
"1715914855.4603",server,"1715914855.013518",0,"UI:Search","| history | search NOT search=""| history*"" AND NOT search=""*metadata*"" AND NOT search=""*loadjob*"" AND NOT savedsearch_name=""*"" AND NOT search=""search"" AND NOT search=""*from sid*"" AND NOT search=""| eventcount summarize=false index=* index=_**"" AND NOT provenance=""UI:LocateData"" AND NOT provenance=""UI:TableEditor"" AND NOT provenance=""UI:DataModel"" AND NOT provenance=""UI:Pivot"" AND NOT provenance=""UI:Dataset"" | dedup search | head 100000","",0,1715914855,0,0,completed,"0.024",,,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD513e0828febc3a751_1715914906.4653",server,"1715914906.237719",0,splunkjs," | mstats rate_avg(""infra-statistics.packets_received"") as ""Rate (Avg) /s"" 
WHERE (index=""mltk_training_data_4"" AND (source=""xr-1"")) AND interface_name=""GigabitEthernet0/0/0/0""  span=1m","",0,1715914906,0,0,canceled,"0.067",0,0,"469768b0-db22-4472-a07b-9cdccce5e1a3",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD513e0828febc3a751_1715914906.4654",server,"1715914906.259619",0,splunkjs," | mstats rate_avg(""infra-statistics.packets_received"") as ""Rate (Avg) /s"" 
WHERE (index=""mltk_training_data_4"" AND (source=""xr-1"")) AND interface_name=""GigabitEthernet0/0/0/0""  span=1m","",0,1715914906,0,0,canceled,"0.093",0,0,"469768b0-db22-4472-a07b-9cdccce5e1a3",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD513e0828febc3a751_1715914906.4655",server,"1715914906.290531",0,splunkjs," | mstats rate_avg(""infra-statistics.packets_received"") as ""Rate (Avg) /s"" 
WHERE (index=""mltk_training_data_4"" AND (source=""xr-1"")) AND interface_name=""GigabitEthernet0/0/0/0""  span=1m",smart,0,1715914906,0,0,completed,"0.10200000000000001",0,0,"469768b0-db22-4472-a07b-9cdccce5e1a3",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD513e0828febc3a751_1715914921.4674",server,"1715914921.499655",0,splunkjs," | mstats rate_avg(""infra-statistics.packets_received"") as ""Rate (Avg) /s"" WHERE (index=""mltk_training_data_4"" AND (source=""xr-1"")) AND interface_name=""GigabitEthernet0/0/0/0""  span=1m",smart,0,1715914921,0,0,canceled,"0.063",0,0,"469768b0-db22-4472-a07b-9cdccce5e1a3",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD513e0828febc3a751_1715914921.4675",server,"1715914921.519517",0,splunkjs," | mstats rate_avg(""infra-statistics.packets_received"") as ""Rate (Avg) /s"" WHERE (index=""mltk_training_data_4"" AND (source=""xr-1"")) AND interface_name=""GigabitEthernet0/0/0/0""  span=1m",smart,0,1715914921,0,0,completed,"0.073",0,0,"469768b0-db22-4472-a07b-9cdccce5e1a3",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59172a5157d418a68_1715916975.5648",server,"1715916975.316398",0,splunkjs," | from inputlookup:complete_numbers.csv","",0,1715916975,5000,0,canceled,"0.047",0,0,"1dd7a97d-791f-4764-ad60-cff29cfe55bd",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59172a5157d418a68_1715916975.5649",server,"1715916975.471426",0,splunkjs," | from inputlookup:complete_numbers.csv","",0,1715916975,5000,0,canceled,"0.055",0,0,"1dd7a97d-791f-4764-ad60-cff29cfe55bd",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59172a5157d418a68_1715916975.5650",server,"1715916975.486302",0,splunkjs," | from inputlookup:complete_numbers.csv",smart,0,1715916975,5000,0,completed,"0.048",0,0,"1dd7a97d-791f-4764-ad60-cff29cfe55bd",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59172a5157d418a68_1715917360.5837",server,"1715917360.816764",0,splunkjs," | from inputlookup:complete_numbers.csv | inputlookup complete_numbers.csv
| eval _time = strptime(_time, ""%FT%T.%Q%:z"")
| sort 0 _time
| streamstats current=f window=1 last(_time) as prev_time last('metric_name:infra-statistics.packets_received') as prev_packets
| eval time_diff = _time - prev_time
| eval packets_diff = 'metric_name:infra-statistics.packets_received' - prev_packets
| where isnotnull(packets_diff) AND packets_diff >= 0
| eval ""Rate (Avg) /s"" = packets_diff / time_diff
| bucket _time span=1m
| stats avg(""Rate (Avg) /s"") as ""Rate (Avg) /s"" by _time, interface_name",smart,0,1715917360,0,0,canceled,"0.003",0,0,"1dd7a97d-791f-4764-ad60-cff29cfe55bd",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59172a5157d418a68_1715917360.5838",server,"1715917360.850875",0,splunkjs," | from inputlookup:complete_numbers.csv | inputlookup complete_numbers.csv
| eval _time = strptime(_time, ""%FT%T.%Q%:z"")
| sort 0 _time
| streamstats current=f window=1 last(_time) as prev_time last('metric_name:infra-statistics.packets_received') as prev_packets
| eval time_diff = _time - prev_time
| eval packets_diff = 'metric_name:infra-statistics.packets_received' - prev_packets
| where isnotnull(packets_diff) AND packets_diff >= 0
| eval ""Rate (Avg) /s"" = packets_diff / time_diff
| bucket _time span=1m
| stats avg(""Rate (Avg) /s"") as ""Rate (Avg) /s"" by _time, interface_name",smart,0,1715917360,0,0,canceled,"0.003",0,0,"1dd7a97d-791f-4764-ad60-cff29cfe55bd",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59172a5157d418a68_1715917378.5841",server,"1715917378.054792",0,splunkjs," | from inputlookup:complete_numbers.csv | inputlookup complete_numbers.csv
| eval _time = strptime(_time, ""%FT%T.%Q%:z"")
| sort 0 _time
| streamstats current=f window=1 last(_time) as prev_time last('metric_name:infra-statistics.packets_received') as prev_packets
| eval time_diff = _time - prev_time
| eval packets_diff = 'metric_name:infra-statistics.packets_received' - prev_packets
| where isnotnull(packets_diff) AND packets_diff >= 0
| eval ""Rate (Avg) /s"" = packets_diff / time_diff
| bucket _time span=1m
| stats avg(""Rate (Avg) /s"") as ""Rate (Avg) /s"" by _time, interface_name",smart,0,1715917378,0,0,failed,"0.004",0,0,"1dd7a97d-791f-4764-ad60-cff29cfe55bd",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59172a5157d418a68_1715917386.5844",server,"1715917386.233735",0,splunkjs," | from inputlookup:complete_numbers.csv",smart,0,1715917386,5000,0,canceled,"0.10200000000000001",0,0,"1dd7a97d-791f-4764-ad60-cff29cfe55bd",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59172a5157d418a68_1715917386.5845",server,"1715917386.264851",0,splunkjs," | from inputlookup:complete_numbers.csv",smart,0,1715917386,5000,0,completed,"0.11900000000000001",0,0,"1dd7a97d-791f-4764-ad60-cff29cfe55bd",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59172a5157d418a68_1715917444.5877",server,"1715917444.036860",0,splunkjs," | from inputlookup:complete_numbers.csv | mstats rate_avg(""infra-statistics.packets_received"") as ""Rate (Avg) /s""",smart,0,1715917444,0,0,canceled,"0.003",0,0,"1dd7a97d-791f-4764-ad60-cff29cfe55bd",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59172a5157d418a68_1715917444.5878",server,"1715917444.082896",0,splunkjs," | from inputlookup:complete_numbers.csv | mstats rate_avg(""infra-statistics.packets_received"") as ""Rate (Avg) /s""",smart,0,1715917444,0,0,failed,"0.005",0,0,"1dd7a97d-791f-4764-ad60-cff29cfe55bd",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59172a5157d418a68_1715917471.5899",server,"1715917471.588232",0,splunkjs," | from inputlookup:complete_numbers.csv",smart,0,1715917471,5000,0,canceled,"0.052000000000000005",0,0,"1dd7a97d-791f-4764-ad60-cff29cfe55bd",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59172a5157d418a68_1715917471.5900",server,"1715917471.620922",0,splunkjs," | from inputlookup:complete_numbers.csv",smart,0,1715917471,5000,0,completed,"0.05",0,0,"1dd7a97d-791f-4764-ad60-cff29cfe55bd",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59172a5157d418a68_1715917561.5941",server,"1715917561.583527",0,splunkjs," | from inputlookup:complete_numbers.csv | mstats rate_avg(""metric_name:infra-statistics.packets_received"") as ""Rate (Avg) /s"" span=1m",smart,0,1715917561,0,0,canceled,"0.006",0,0,"1dd7a97d-791f-4764-ad60-cff29cfe55bd",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59172a5157d418a68_1715917561.5942",server,"1715917561.618853",0,splunkjs," | from inputlookup:complete_numbers.csv | mstats rate_avg(""metric_name:infra-statistics.packets_received"") as ""Rate (Avg) /s"" span=1m",smart,0,1715917561,0,0,failed,"0.006",0,0,"1dd7a97d-791f-4764-ad60-cff29cfe55bd",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59172a5157d418a68_1715917599.5954",server,"1715917599.814760",0,splunkjs," | from inputlookup:disk_failures.csv | mstats rate_avg(""metric_name:infra-statistics.packets_received"") as ""Rate (Avg) /s"" span=1m",smart,0,1715917599,0,0,canceled,"0.003",0,0,"1dd7a97d-791f-4764-ad60-cff29cfe55bd",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59172a5157d418a68_1715917599.5955",server,"1715917599.848808",0,splunkjs," | from inputlookup:disk_failures.csv | mstats rate_avg(""metric_name:infra-statistics.packets_received"") as ""Rate (Avg) /s"" span=1m",smart,0,1715917599,0,0,canceled,"0.003",0,0,"1dd7a97d-791f-4764-ad60-cff29cfe55bd",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59172a5157d418a68_1715917609.5968",server,"1715917609.214840",0,splunkjs," | from inputlookup:disk_failures.csv",smart,0,1715917609,8202,0,canceled,"0.076",0,0,"1dd7a97d-791f-4764-ad60-cff29cfe55bd",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59172a5157d418a68_1715917609.5969",server,"1715917609.248798",0,splunkjs," | from inputlookup:disk_failures.csv",smart,0,1715917609,8202,0,completed,"0.08600000000000001",0,0,"1dd7a97d-791f-4764-ad60-cff29cfe55bd",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59172a5157d418a68_1715917631.5978",server,"1715917631.693872",0,splunkjs," | from inputlookup:firewall_traffic.csv",smart,0,1715917631,0,0,canceled,"0.727",0,0,"1dd7a97d-791f-4764-ad60-cff29cfe55bd",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59172a5157d418a68_1715917631.5979",server,"1715917631.738439",0,splunkjs," | from inputlookup:firewall_traffic.csv",smart,0,1715917631,98943,0,canceled,"0.9450000000000001",0,0,"1dd7a97d-791f-4764-ad60-cff29cfe55bd",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59172a5157d418a68_1715917649.5982",server,"1715917649.040887",0,splunkjs," | from inputlookup:internet_traffic.csv",smart,0,1715917649,14772,0,canceled,"0.074",0,0,"1dd7a97d-791f-4764-ad60-cff29cfe55bd",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59172a5157d418a68_1715917649.5983",server,"1715917649.082900",0,splunkjs," | from inputlookup:internet_traffic.csv",smart,0,1715917649,14772,0,completed,"0.08",0,0,"1dd7a97d-791f-4764-ad60-cff29cfe55bd",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1715917708.6013",server,"1715917708.854662",0,splunkjs,"| inputlookup hostperf.csv | eval _time=strptime(_time, ""%Y-%m-%dT%H:%M:%S.%3Q%z"") | timechart span=10m max(rtmax) as responsetime | head 1000",smart,0,1715917708,1000,0,completed,"0.179",0,0,searchBarSearch,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD529e82d7cad9f9f58_1715917709.6014",server,"1715917709.483874",0,splunkjs,"| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1715917708.6013 | head 1 | transpose | fields column | search column != ""column"" AND column != ""_*""","",0,1715917709,1,0,canceled,"0.026000000000000002",0,0,outlierVariableSearch,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD529e82d7cad9f9f58_1715917709.6017",server,"1715917709.575845",0,splunkjs,"| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1715917708.6013 | head 1 | transpose | fields column | search column != ""column"" AND column != ""_*""","",0,1715917709,1,0,completed,"0.10300000000000001",0,0,outlierVariableSearch,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__splitByFieldsSearch_1715917710.6018",server,"1715917710.691725",0,splunkjs,"| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD529e82d7cad9f9f58_1715917709.6017 | search column != ""column"" AND column != ""responsetime"" AND (column != ""_*"" OR column = ""_time"")","",0,1715917710,0,0,completed,"0.024",0,0,splitByFieldsSearch,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__outlierSearch_1715917711.6019",server,"1715917711.685729",0,splunkjs,"| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1715917708.6013 | streamstats window=200 current=true median(""responsetime"") as median  | eval absDev=(abs('responsetime'-median)) | streamstats window=200 current=true median(absDev) as medianAbsDev  | eval lowerBound=(median-medianAbsDev*exact(20)), upperBound=(median+medianAbsDev*exact(20)) | eval isOutlier=if('responsetime' < lowerBound OR 'responsetime' > upperBound, 1, 0)","",0,1715917711,1000,0,completed,"0.031",0,0,outlierSearch,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__outliersCountSearch_1715917712.6020",server,"1715917712.827240",0,splunkjs,"| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__outlierSearch_1715917711.6019 | where isOutlier=1 | stats count as outlierCount","",0,1715917712,1,0,completed,"0.056",0,0,outliersCountSearch,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__outliersVizSearch_1715917712.6021",server,"1715917712.975477",0,splunkjs,"| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__outlierSearch_1715917711.6019  | fields _time, ""responsetime"", lowerBound, upperBound, isOutlier, *","",0,1715917713,1000,0,completed,"0.065",0,0,outliersVizSearch,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD517426953b41387a8_1715917712.6022",server,"1715917712.978390",0,splunkjs,"| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__outlierSearch_1715917711.6019 | eval distance = max('responsetime' - median, median - 'responsetime') | eval distance = if(medianAbsDev!=0, floor(distance/medianAbsDev), 0) | chart count over distance | makecontinuous distance","",0,1715917713,40,0,completed,"0.092",0,0,outliersBarChartVizSearch,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD57df09c0f66ea2200_1715917712.6023",server,"1715917712.981198",0,splunkjs,"| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__outlierSearch_1715917711.6019 | eval isOutlierBelow=if('responsetime' < lowerBound, 1, 0), isOutlierAbove=if('responsetime' > upperBound, 1, 0)  | timechart sum(isOutlier) as outliers ","",0,1715917713,8,0,completed,"0.10200000000000001",0,0,outliersOverTimeVizSearch,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59dc288cc44d9c406_1715917773.6055",server,"1715917773.400187",0,splunkjs," | from inputlookup:internet_traffic.csv","",0,1715917773,0,0,canceled,"0.151",0,0,"cc823c79-1da1-4dd3-b47a-ac7d51dcc762",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59dc288cc44d9c406_1715917773.6056",server,"1715917773.425400",0,splunkjs," | from inputlookup:internet_traffic.csv","",0,1715917773,0,0,canceled,"0.097",0,0,"cc823c79-1da1-4dd3-b47a-ac7d51dcc762",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59dc288cc44d9c406_1715917773.6057",server,"1715917773.453626",0,splunkjs," | from inputlookup:internet_traffic.csv",smart,0,1715917773,14772,0,completed,"0.152",0,0,"cc823c79-1da1-4dd3-b47a-ac7d51dcc762",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59dc288cc44d9c406_1715917895.6120",server,"1715917895.272359",0,splunkjs," | from inputlookup:complete_numbers.csv | inputlookup hostperf.csv | eval _time=strptime(_time, ""%Y-%m-%dT%H:%M:%S.%3Q%z"") | timechart span=10m max(rtmax) as responsetime | head 1000",smart,0,1715917895,0,0,canceled,"0.003",0,0,"cc823c79-1da1-4dd3-b47a-ac7d51dcc762",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59dc288cc44d9c406_1715917895.6121",server,"1715917895.317671",0,splunkjs," | from inputlookup:complete_numbers.csv | inputlookup hostperf.csv | eval _time=strptime(_time, ""%Y-%m-%dT%H:%M:%S.%3Q%z"") | timechart span=10m max(rtmax) as responsetime | head 1000",smart,0,1715917895,0,0,canceled,"0.003",0,0,"cc823c79-1da1-4dd3-b47a-ac7d51dcc762",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59dc288cc44d9c406_1715917901.6122",server,"1715917901.597293",0,splunkjs," | from inputlookup:complete_numbers.csv | inputlookup complete_numbers.csv",smart,0,1715917901,0,0,canceled,"0.003",0,0,"cc823c79-1da1-4dd3-b47a-ac7d51dcc762",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59dc288cc44d9c406_1715917901.6123",server,"1715917901.625957",0,splunkjs," | from inputlookup:complete_numbers.csv | inputlookup complete_numbers.csv",smart,0,1715917901,0,0,failed,"0.004",0,0,"cc823c79-1da1-4dd3-b47a-ac7d51dcc762",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59dc288cc44d9c406_1715917932.6133",server,"1715917932.776323",0,splunkjs," | from inputlookup:complete_numbers.csv | inputlookup complete_numbers.csv",smart,0,1715917932,0,0,canceled,"0.005",0,0,"cc823c79-1da1-4dd3-b47a-ac7d51dcc762",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59dc288cc44d9c406_1715917935.6139",server,"1715917935.540451",0,splunkjs," | from inputlookup:app_usage.csv | inputlookup complete_numbers.csv",smart,0,1715917935,0,0,canceled,"0.004",0,0,"cc823c79-1da1-4dd3-b47a-ac7d51dcc762",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59dc288cc44d9c406_1715917935.6140",server,"1715917935.571415",0,splunkjs," | from inputlookup:app_usage.csv | inputlookup complete_numbers.csv",smart,0,1715917935,0,0,failed,"0.003",0,0,"cc823c79-1da1-4dd3-b47a-ac7d51dcc762",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD58a15ed754498bc88_1715917956.6158",server,"1715917956.115730",0,splunkjs," | inputlookup complete_numbers.csv
| sort 0 _time  // Ensure the events are sorted by time before calculating deltas
| streamstats current=f window=1 last(_time) as prev_time last(""infra-statistics.packets_received"") as prev_packets
| eval time_diff = _time - prev_time
| eval packets_diff = 'infra-statistics.packets_received' - prev_packets
| where isnotnull(packets_diff)
| eval ""Rate (Avg) /s"" = packets_diff / time_diff
| stats avg(""Rate (Avg) /s"") as ""Rate (Avg) /s"" by interface_name","",0,1715917956,0,0,canceled,"0.08600000000000001",0,0,"dd797f0a-871a-4cfd-a5f9-1121b62e9dad",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD58a15ed754498bc88_1715917956.6159",server,"1715917956.133656",0,splunkjs," | inputlookup complete_numbers.csv
| sort 0 _time  // Ensure the events are sorted by time before calculating deltas
| streamstats current=f window=1 last(_time) as prev_time last(""infra-statistics.packets_received"") as prev_packets
| eval time_diff = _time - prev_time
| eval packets_diff = 'infra-statistics.packets_received' - prev_packets
| where isnotnull(packets_diff)
| eval ""Rate (Avg) /s"" = packets_diff / time_diff
| stats avg(""Rate (Avg) /s"") as ""Rate (Avg) /s"" by interface_name","",0,1715917956,0,0,canceled,"0.109",0,0,"dd797f0a-871a-4cfd-a5f9-1121b62e9dad",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD58a15ed754498bc88_1715917956.6160",server,"1715917956.148370",0,splunkjs," | inputlookup complete_numbers.csv
| sort 0 _time  // Ensure the events are sorted by time before calculating deltas
| streamstats current=f window=1 last(_time) as prev_time last(""infra-statistics.packets_received"") as prev_packets
| eval time_diff = _time - prev_time
| eval packets_diff = 'infra-statistics.packets_received' - prev_packets
| where isnotnull(packets_diff)
| eval ""Rate (Avg) /s"" = packets_diff / time_diff
| stats avg(""Rate (Avg) /s"") as ""Rate (Avg) /s"" by interface_name",smart,0,1715917956,0,0,completed,"0.105",0,0,"dd797f0a-871a-4cfd-a5f9-1121b62e9dad",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59dc288cc44d9c406_1715918004.6176",server,"1715918004.256041",0,splunkjs," | from inputlookup:complete_numbers.csv | inputlookup complete_numbers.csv",smart,0,1715918004,0,0,canceled,"0.003",0,0,"cc823c79-1da1-4dd3-b47a-ac7d51dcc762",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59dc288cc44d9c406_1715918004.6177",server,"1715918004.300874",0,splunkjs," | from inputlookup:complete_numbers.csv | inputlookup complete_numbers.csv",smart,0,1715918004,0,0,failed,"0.003",0,0,"cc823c79-1da1-4dd3-b47a-ac7d51dcc762",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59dc288cc44d9c406_1715918044.6198",server,"1715918044.585220",0,splunkjs," | from inputlookup:complete_numbers.csv | search source=""xr-1"" AND interface_name=""GigabitEthernet0/0/0/0""
| eval _time = strptime(_time, ""%Y-%m-%d %H:%M:%S"")
| bucket _time span=1m
| stats avg(""infra-statistics.packets_received"") as ""Rate (Avg) /s"" by _time",smart,0,1715918044,0,0,canceled,"0.094",0,0,"cc823c79-1da1-4dd3-b47a-ac7d51dcc762",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59dc288cc44d9c406_1715918044.6199",server,"1715918044.615202",0,splunkjs," | from inputlookup:complete_numbers.csv | search source=""xr-1"" AND interface_name=""GigabitEthernet0/0/0/0""
| eval _time = strptime(_time, ""%Y-%m-%d %H:%M:%S"")
| bucket _time span=1m
| stats avg(""infra-statistics.packets_received"") as ""Rate (Avg) /s"" by _time",smart,0,1715918044,0,0,completed,"0.11",0,0,"cc823c79-1da1-4dd3-b47a-ac7d51dcc762",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59dc288cc44d9c406_1715918088.6227",server,"1715918088.613657",0,splunkjs," | from inputlookup:complete_numbers.csv | search source=""xr-1"" AND interface_name=""GigabitEthernet0/0/0/0""
| eval _time = strptime(_time, ""%Y-%m-%d %H:%M:%S"")
| bucket _time span=1m
| mstats avg(""infra-statistics.packets_received"") as ""Rate (Avg) /s"" by _time",smart,0,1715918088,0,0,canceled,"0.003",0,0,"cc823c79-1da1-4dd3-b47a-ac7d51dcc762",,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD59dc288cc44d9c406_1715918088.6228",server,"1715918088.644742",0,splunkjs," | from inputlookup:complete_numbers.csv | search source=""xr-1"" AND interface_name=""GigabitEthernet0/0/0/0""
| eval _time = strptime(_time, ""%Y-%m-%d %H:%M:%S"")
| bucket _time span=1m
| mstats avg(""infra-statistics.packets_received"") as ""Rate (Avg) /s"" by _time",smart,0,1715918088,0,0,failed,"0.013000000000000001",0,0,"cc823c79-1da1-4dd3-b47a-ac7d51dcc762",,,,,,,,,,,,,,,,
